dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
enterococcus_vancomycin_cdhit_train,HistGB,32,"[{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}]","[0.8906030729779352, 0.7490633837847208, 0.982444720851967, 0.8549271832037827, 0.30906421101640424]",0.854927183,70.2,1.166190379,0.8,0.748331477,46.4,0.8,1.2,0.979795897,0.996204592,0.004051873,0.983150548,0.011874209,0.983122107,0.012034527,0.983176839,0.013736796,0.983176839,0.013736796,0.983067376,0.015899224,0.985933381,0.009878597,0.965101773,0.024769037,0.757220514,0.236209252
enterococcus_vancomycin_cdhit_train,RBF SVM,32,"[{'clf__C': 10, 'clf__gamma': 0.1}, {'clf__C': 100, 'clf__gamma': 'auto'}, {'clf__C': 10, 'clf__gamma': 'scale'}, {'clf__C': 100, 'clf__gamma': 0.01}, {'clf__C': 100, 'clf__gamma': 0.01}]","[0.7370758746257084, 0.4801883556851462, 0.8729033329883549, 0.7969184012701447, 0.8374354554197723]",0.796918401,70,1.414213562,0.8,0.748331477,46.4,0.8,1.4,1.496662955,0.990349366,0.009489642,0.981469876,0.017128479,0.98175278,0.016479606,0.980438185,0.020808476,0.980438185,0.020808476,0.983067376,0.015899224,0.98447665,0.014365551,0.961760453,0.03538735,0.744904284,0.13984781
enterococcus_vancomycin_cdhit_train,Balanced Random Forest,32,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}]","[0.5131687062937064, 0.53, 0.5224962121212122, 0.405, 0.5314587301587305]",0.522496212,69.8,1.166190379,0.8,0.748331477,46.4,0.8,1.6,1.356465997,0.995662272,0.002976864,0.979789204,0.015569114,0.980363891,0.015119747,0.977660407,0.018846223,0.977660407,0.018846223,0.983067376,0.015899224,0.983078049,0.013067954,0.958287004,0.032169515,0.50042473,0.04815235
enterococcus_vancomycin_cdhit_train,Random Forest,32,"[{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}]","[0.5131435973483492, 0.555, 0.585, 0.4677256087347012, 0.5605046405800792]",0.555,69.8,1.166190379,0.8,0.748331477,46.4,0.8,1.6,1.356465997,0.994411564,0.003898092,0.979789204,0.015569114,0.980363891,0.015119747,0.977660407,0.018846223,0.977660407,0.018846223,0.983067376,0.015899224,0.983078049,0.013067954,0.958287004,0.032169515,0.536274769,0.041342249
enterococcus_vancomycin_cdhit_train,LogReg (L2),32,"[{'clf__C': 1}, {'clf__C': 100}, {'clf__C': 100}, {'clf__C': 10}, {'clf__C': 10}]","[0.3761706504080206, 0.7029873618622375, 0.5944960410943436, 0.4971037632676441, 0.6326377197903844]",0.594496041,69.8,0.748331477,0.8,0.748331477,46.4,0.8,1.6,1.019803903,0.991931792,0.006279221,0.979789204,0.011375893,0.980363891,0.011442239,0.977660407,0.014172478,0.977660407,0.014172478,0.983067376,0.015899224,0.983117446,0.009457071,0.958241981,0.02377599,0.560679107,0.113717599
enterococcus_vancomycin_cdhit_train,LogReg (L1),32,"[{'clf__C': 1}, {'clf__C': 10}, {'clf__C': 10}, {'clf__C': 1}, {'clf__C': 1}]","[0.6967444181728797, 0.7292600421959796, 0.7717411060610119, 0.6508940744535027, 0.6581600924661685]",0.696744418,69.6,0.8,0.8,0.748331477,46.4,0.8,1.8,1.166190379,0.989894866,0.008202964,0.978108532,0.011369578,0.978975002,0.011075937,0.974882629,0.01618442,0.974882629,0.01618442,0.983067376,0.015899224,0.981679028,0.009469047,0.954930272,0.023662122,0.701359947,0.045091591
enterococcus_vancomycin_cdhit_train,SGD Logistic,32,"[{'clf__alpha': 1e-05}, {'clf__alpha': 0.0001}, {'clf__alpha': 0.0001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.001}]","[0.8273249375142243, 0.6661676290854361, 0.7134470961774604, 0.5849793879854869, 0.571508874529668]",0.666167629,69.4,1.496662955,0.8,0.748331477,46.4,0.8,2,1.414213562,0.991691223,0.006221704,0.976427859,0.01537728,0.977527428,0.014810743,0.97198748,0.019864405,0.97198748,0.019864405,0.983067376,0.015899224,0.980158403,0.013037819,0.951578083,0.031570545,0.672685585,0.093323542
enterococcus_vancomycin_cdhit_train,Extra Trees,32,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}]","[0.5256232803829095, 0.5191229546962622, 0.6612475247524753, 0.57, 0.5911478714044782]",0.57,69.4,1.496662955,0.8,0.748331477,46.4,0.8,2,1.414213562,0.993803067,0.005411884,0.97638513,0.017162271,0.977527428,0.016694043,0.97198748,0.019698428,0.97198748,0.019698428,0.983067376,0.015899224,0.980160966,0.014395869,0.951349663,0.035437833,0.573428326,0.051521536
enterococcus_vancomycin_cdhit_train,Linear SVM,32,"[{'clf__C': 1}, {'clf__C': 0.1}, {'clf__C': 100}, {'clf__C': 1}, {'clf__C': 1}]","[-0.09250202091158344, 0.0060942943945032635, 0.8064513242722473, -0.05520688164555437, 0.21117622947653325]",0.006094294,70,1.414213562,1.6,1.743559577,45.6,1.854723699,1.4,1.496662955,0.991392801,0.007075807,0.974747187,0.01402754,0.973242142,0.016380325,0.980438185,0.020808476,0.980438185,0.020808476,0.966046099,0.037127931,0.979123746,0.011452726,0.948276018,0.028517017,0.175202589,0.332602155
enterococcus_vancomycin_cdhit_train,AdaBoost,32,"[{'clf__learning_rate': 1.0, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.5, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.5, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.1, 'clf__n_estimators': 500}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 50}]","[0.5303932202158778, 0.5134487628233925, 0.550686823996086, 0.5193285519095299, 0.5081646101147097]",0.519328552,69,1.414213562,1,0.632455532,46.2,0.748331477,2.4,1.624807681,0.992094529,0.005657374,0.971371599,0.01727886,0.972641553,0.016159975,0.966471049,0.022592195,0.966471049,0.022592195,0.978812057,0.013457669,0.975885814,0.01465258,0.941209364,0.035343509,0.524404394,0.015074168
enterococcus_vancomycin_cdhit_train,Decision Tree,32,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}, {'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}, {'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}]","[1.0, 0.7682926829268292, 1.0, 0.7251798561151079, 0.5701357466063349]",0.768292683,68.6,0.489897949,0.8,0.748331477,46.4,0.8,2.8,0.748331477,0.987568674,0.013430465,0.969676684,0.008500139,0.971952311,0.009122115,0.960837246,0.010259347,0.960837246,0.010259347,0.983067376,0.015899224,0.97446596,0.007099941,0.937892212,0.017672289,0.812721657,0.16651233
enterococcus_vancomycin_cdhit_train,Gradient Boosting,32,"[{'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.1, 'clf__max_depth': 1, 'clf__n_estimators': 500}]","[0.8460948508683052, 0.8175413091241696, 0.8486886299444644, 0.8442795960256027, 0.7882822862849349]",0.844279596,68,4.604345773,0.8,0.748331477,46.4,0.8,3.4,4.841487375,0.987822146,0.015674517,0.96464891,0.045819699,0.96784433,0.040224947,0.952621283,0.067181597,0.952621283,0.067181597,0.983067376,0.015899224,0.968952663,0.041233268,0.931000558,0.086665576,0.828977334,0.023248971
enterococcus_vancomycin_cdhit_train,KNN,32,"[{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}]","[0.375, 0.5945945945945946, 0.5294117647058824, 0.6000000000000001, 0.35294117647058826]",0.529411765,68.4,1.356465997,1.8,0.979795897,45.4,1.019803903,3,1.264911064,0.991283546,0.007282558,0.95949295,0.017296779,0.959930327,0.017589337,0.957981221,0.01775644,0.957981221,0.01775644,0.961879433,0.020813519,0.966036217,0.014617343,0.916208416,0.03571354,0.490389507,0.106398007
