dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
klebsiella_meropenem_cdhit_train,Linear SVM,102,"[{'clf__C': 1}, {'clf__C': 1}, {'clf__C': 0.1}, {'clf__C': 0.1}, {'clf__C': 0.1}]","[-0.24079440865379437, -0.22896756546238262, -0.1383157248815357, -0.2274411835711664, -0.056183483817785984]",-0.227441184,67.4,3.136877428,7,3.033150178,165,3.033150178,6.4,3.261901286,0.961397265,0.02384912,0.945505226,0.023761193,0.936333873,0.029021374,0.91336542,0.043971647,0.91336542,0.043971647,0.959302326,0.017634594,0.909599231,0.039738636,0.870831366,0.056532422,-0.178340473,0.071272417
klebsiella_meropenem_cdhit_train,RBF SVM,102,"[{'clf__C': 100, 'clf__gamma': 'auto'}, {'clf__C': 10, 'clf__gamma': 'auto'}, {'clf__C': 10, 'clf__gamma': 'auto'}, {'clf__C': 10, 'clf__gamma': 'auto'}, {'clf__C': 1, 'clf__gamma': 'scale'}]","[0.5574924464085387, 0.23497864992794162, 0.0650956826205891, 0.1547817285338965, 0.21504133927888466]",0.215041339,67.2,2.925747768,6.6,4.409081537,165.4,4.409081537,6.6,3.072458299,0.960647327,0.016163954,0.946318235,0.025738248,0.936145312,0.028507521,0.910662718,0.041395256,0.910662718,0.041395256,0.961627907,0.025634195,0.911026385,0.041361305,0.873285658,0.05919639,0.245477969,0.166825199
klebsiella_meropenem_cdhit_train,AdaBoost,102,"[{'clf__learning_rate': 1.0, 'clf__n_estimators': 500}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.5, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.5, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.5, 'clf__n_estimators': 500}]","[0.48213612810347756, 0.46102453744748123, 0.4931261459558877, 0.4505634028392957, 0.46259304052538114]",0.462593041,66.4,3.006659276,4.8,2.925747768,167.2,2.925747768,7.4,3.072458299,0.957116335,0.026654125,0.950379957,0.021855147,0.935935442,0.026734271,0.89977786,0.041420745,0.89977786,0.041420745,0.972093023,0.017010161,0.915859201,0.036953614,0.881288126,0.052205568,0.469888651,0.015461213
klebsiella_meropenem_cdhit_train,Gradient Boosting,102,"[{'clf__learning_rate': 0.1, 'clf__max_depth': 1, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200}]","[0.3612357065784162, 0.689536006673196, 0.22724622615202827, 0.5212687617106071, 0.36781587717502473]",0.367815877,66.6,3.072458299,5.4,3.136877428,166.6,3.136877428,7.2,3.18747549,0.95892542,0.023326657,0.948753941,0.022183389,0.935561119,0.027134129,0.902517586,0.042947631,0.902517586,0.042947631,0.968604651,0.018237659,0.913587807,0.037497078,0.877735511,0.052693442,0.433420516,0.158325558
klebsiella_meropenem_cdhit_train,Decision Tree,102,"[{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}, {'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': 2, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': 2, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}]","[0.5393654524089307, 0.9474573090636146, 0.9425051334702258, 0.7771493212669683, 0.7775268210050817]",0.777526821,66,3.033150178,4.8,2.925747768,167.2,2.925747768,7.8,3.059411708,0.932891242,0.024339073,0.948750622,0.02064277,0.933214227,0.025529884,0.894335431,0.041278832,0.894335431,0.041278832,0.972093023,0.017010161,0.912831237,0.035105006,0.877382573,0.049267696,0.796800807,0.148968293
klebsiella_meropenem_cdhit_train,HistGB,102,"[{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 50}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 50}, {'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}]","[0.5380204132123748, 0.4074494743569115, 0.39532469930602965, 0.42915352140227964, 0.2155380649263608]",0.407449474,65.6,2.576819745,5,3.16227766,167,3.16227766,8.2,2.638181192,0.956172671,0.026060089,0.946308279,0.019625359,0.929930129,0.022900251,0.888930026,0.035536799,0.888930026,0.035536799,0.970930233,0.018385335,0.908728061,0.032516255,0.871618184,0.046257426,0.397097235,0.103885505
klebsiella_meropenem_cdhit_train,Random Forest,102,"[{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}, {'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}]","[0.34997947373463517, 0.38622720087113616, 0.343165885505742, 0.507696044293336, 0.4565190727405435]",0.386227201,66.6,2.653299832,7.6,3.261901286,164.4,3.261901286,7.2,2.561249695,0.961476262,0.018438572,0.939800896,0.017480657,0.929110235,0.020343132,0.902406516,0.034708928,0.902406516,0.034708928,0.955813953,0.018964542,0.900161483,0.028181575,0.857730166,0.040694795,0.408717535,0.063772605
klebsiella_meropenem_cdhit_train,SGD Logistic,102,"[{'clf__alpha': 0.001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.01}]","[0.4389078972317004, 0.28110939484430214, 0.36520950505151667, 0.3569633910745695, 0.34722990135241344]",0.356963391,66.4,2.653299832,7.2,3.544009029,164.8,3.544009029,7.4,2.8,0.962631949,0.020859185,0.940617222,0.024310562,0.928977209,0.027625728,0.899814883,0.037680651,0.899814883,0.037680651,0.958139535,0.020604704,0.901221253,0.040063139,0.858969704,0.057401988,0.357884018,0.05025382
klebsiella_meropenem_cdhit_train,LogReg (L1),102,"[{'clf__C': 1}, {'clf__C': 10}, {'clf__C': 10}, {'clf__C': 1}, {'clf__C': 1}]","[0.3622686482603959, 0.44018532833884866, 0.4194498196757151, 0.43825405872046524, 0.3929033928574462]",0.41944982,66.6,3.072458299,8,3.741657387,164,3.741657387,7.2,3.18747549,0.956583587,0.024632413,0.93817488,0.021233717,0.928002979,0.02532211,0.902517586,0.042947631,0.902517586,0.042947631,0.953488372,0.021753822,0.897692818,0.034804968,0.854222837,0.049156043,0.41061225,0.029554853
klebsiella_meropenem_cdhit_train,LogReg (L2),102,"[{'clf__C': 1}, {'clf__C': 10}, {'clf__C': 10}, {'clf__C': 1}, {'clf__C': 0.1}]","[0.5054982575716519, 0.5210938776991325, 0.36055721763811804, 0.4233948414866342, 0.35554960348396847]",0.423394841,66.4,3.006659276,7.6,4.176122604,164.4,4.176122604,7.4,3.072458299,0.963648154,0.020540196,0.938981251,0.021950467,0.927795907,0.024929458,0.89977786,0.041420745,0.89977786,0.041420745,0.955813953,0.024279783,0.898764977,0.035799142,0.856052547,0.050687421,0.43321876,0.069792649
