dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
mycobacterium_isoniazid_cdhit_train,RBF SVM,3,"[{'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}]","[0.6010181872919627, 0.5866635459086531, 0.5970031581802411, 0.5765318996350727, 0.5445646964026494]",0.586663546,58.8,48.00999896,37.2,30.37367281,24.8,30.37367281,39.2,48.00999896,0.501612903,0.003225806,0.5225,0.110227038,0.5,0,0.6,0.489897949,0.6,0.489897949,0.4,0.489897949,0.455813953,0.372170535,0,0,0.581156297,0.020180574
mycobacterium_isoniazid_cdhit_train,BernoulliNB,3,"[{'clf__alpha': 0.01, 'clf__binarize': None}, {'clf__alpha': 0.01, 'clf__binarize': None}, {'clf__alpha': 0.01, 'clf__binarize': None}, {'clf__alpha': 0.01, 'clf__binarize': None}, {'clf__alpha': 0.01, 'clf__binarize': None}]","[0.6141334050211154, 0.6126919237310643, 0.6135990958468399, 0.6135990958468399, 0.6135990958468399]",0.613599096,0,0,0,0,62,0,98,0,0.501612903,0.003225806,0.3875,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0.613524523,0.000464896
mycobacterium_isoniazid_cdhit_train,LogReg (L1),3,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.5, 0.5, 0.5, 0.5, 0.5]",0.5,98,0,62,0,0,0,0,0,0.5,0,0.6125,0,0.5,0,1,0,1,0,0,0,0.759689922,0,0,0,0.5,0
mycobacterium_isoniazid_cdhit_train,SGD Logistic,3,"[{'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}]","[0.0032301127870601404, 0.00323011855868216, 0.00323011855868216, 0.00323011855868216, 0.00323011855868216]",0.003230119,98,0,62,0,0,0,0,0,0.5,0,0.6125,0,0.5,0,1,0,1,0,0,0,0.759689922,0,0,0,0.003230117,2.31E-09
mycobacterium_isoniazid_cdhit_train,KNN,3,"[{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,98,0,62,0,0,0,0,0,0.5,0,0.6125,0,0.5,0,1,0,1,0,0,0,0.759689922,0,0,0,0,0
mycobacterium_isoniazid_cdhit_train,Random Forest,3,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}]","[0.4999552944565064, 0.4985100476054069, 0.5000559205230428, 0.49987815413169884, 0.49987815413169884]",0.499878154,98,0,62,0,0,0,0,0,0.5,0,0.6125,0,0.5,0,1,0,1,0,0,0,0.759689922,0,0,0,0.499655514,0.000576442
mycobacterium_isoniazid_cdhit_train,AdaBoost,3,"[{'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}]","[0.8807970779778823, 0.8807970779778825, 0.8807970779778823, 0.8807970779778823, 0.8807970779778823]",0.880797078,78.4,39.2,49.6,24.8,12.4,24.8,19.6,39.2,0.5,0,0.5675,0.09,0.5,0,0.8,0.4,0.8,0.4,0.2,0.4,0.607751938,0.303875969,0,0,0.880797078,1.11E-16
mycobacterium_isoniazid_cdhit_train,Linear SVM,3,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[5.6090716519628765e-06, 0.0, 5.558418176024983e-06, 5.558418176024983e-06, 5.558418176024983e-06]",5.56E-06,19.6,39.2,12.4,24.8,49.6,24.8,78.4,39.2,0.5,0,0.4325,0.09,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.151937984,0.303875969,0,0,4.46E-06,2.23E-06
mycobacterium_isoniazid_cdhit_train,LogReg (L2),3,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.5000001183622056, 0.5, 0.5000001174235076, 0.5000001174235076, 0.5000001174235076]",0.500000117,19.6,39.2,12.4,24.8,49.6,24.8,78.4,39.2,0.5,0,0.4325,0.09,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.151937984,0.303875969,0,0,0.500000094,4.71E-08
mycobacterium_isoniazid_cdhit_train,Balanced Random Forest,3,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}]","[0.5013478647713145, 0.5, 0.5015478518827172, 0.5013934425578621, 0.5013934425578621]",0.501393443,19.6,39.2,12.4,24.8,49.6,24.8,78.4,39.2,0.5,0,0.4325,0.09,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.151937984,0.303875969,0,0,0.50113652,0.000572286
