dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
mycobacterium_pyrazinamide_cdhit_train,RBF SVM,3,"[{'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}]","[0.2091243697006968, 0.2044367472319108, 0.206398884648602, 0.20056464411939295, 0.2199251553447685]",0.206398885,31,15.50483795,96.6,48.30155277,24,48,7.8,15.6,0.500826446,0.001652893,0.345298742,0.204720049,0.5,0,0.8,0.4,0.8,0.4,0.2,0.4,0.312729159,0.156388642,0,0,0.20808996,0.006541834
mycobacterium_pyrazinamide_cdhit_train,LogReg (L1),3,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.5, 0.5, 0.5, 0.5, 0.5]",0.5,38.8,0.4,120.6,0.489897949,0,0,0,0,0.5,0,0.24341195,0.002313058,0.5,0,1,0,1,0,0,0,0.391517038,0.002998776,0,0,0.5,0
mycobacterium_pyrazinamide_cdhit_train,KNN,3,"[{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,38.8,0.4,120.6,0.489897949,0,0,0,0,0.5,0,0.24341195,0.002313058,0.5,0,1,0,1,0,0,0,0.391517038,0.002998776,0,0,0,0
mycobacterium_pyrazinamide_cdhit_train,Gradient Boosting,3,"[{'clf__learning_rate': 0.01, 'clf__max_depth': 1, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 1, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 1, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 1, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 1, 'clf__n_estimators': 100}]","[0.2429245283018868, 0.2432886104555376, 0.24507176931522354, 0.24271531000138422, 0.24271531000138422]",0.242924528,31.2,15.6,96.4,48.20207464,24.2,48.4,7.6,15.2,0.5,0,0.347814465,0.20659705,0.5,0,0.8,0.4,0.8,0.4,0.2,0.4,0.314359677,0.157182332,0,0,0.243343106,0.000889349
mycobacterium_pyrazinamide_cdhit_train,HistGB,3,"[{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}]","[0.2429245283018868, 0.2429245283018868, 0.24470588235294116, 0.24235294117647058, 0.24235294117647058]",0.242924528,31.2,15.6,96.4,48.20207464,24.2,48.4,7.6,15.2,0.5,0,0.347814465,0.20659705,0.5,0,0.8,0.4,0.8,0.4,0.2,0.4,0.314359677,0.157182332,0,0,0.243052164,0.00086547
mycobacterium_pyrazinamide_cdhit_train,AdaBoost,3,"[{'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}]","[0.11920292202211757, 0.11920292202211757, 0.1192029220221175, 0.11920292202211757, 0.11920292202211757]",0.119202922,23.2,18.94623973,72.2,58.95218401,48.4,59.27765178,15.6,19.10601999,0.5,0,0.44841195,0.251359207,0.5,0,0.6,0.489897949,0.6,0.489897949,0.4,0.489897949,0.234733118,0.191681906,0,0,0.119202922,3.10E-17
mycobacterium_pyrazinamide_cdhit_train,Random Forest,3,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}]","[0.4985599234992891, 0.4990803082298967, 0.4992828720334176, 0.4992312177068961, 0.49920663068193244]",0.499206631,15.6,19.10601999,48.4,59.27765178,72.2,58.95218401,23.2,18.94623973,0.5,0,0.55158805,0.251359207,0.5,0,0.4,0.489897949,0.4,0.489897949,0.6,0.489897949,0.15678392,0.192020301,0,0,0.49907219,0.000264664
mycobacterium_pyrazinamide_cdhit_train,Linear SVM,3,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.0, 1.4702330491124037e-06, 1.4794015757745586e-06, 1.4702330491124037e-06, 1.4702330491124037e-06]",1.47E-06,7.8,15.6,24.2,48.4,96.4,48.20207464,31,15.50483795,0.5,0,0.65408805,0.205181994,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.07839196,0.15678392,0,0,1.18E-06,5.89E-07
mycobacterium_pyrazinamide_cdhit_train,LogReg (L2),3,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.5, 0.5000000309558885, 0.5000000311490448, 0.5000000309558885, 0.5000000309558885]",0.500000031,7.8,15.6,24.2,48.4,96.4,48.20207464,31,15.50483795,0.5,0,0.65408805,0.205181994,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.07839196,0.15678392,0,0,0.500000025,1.24E-08
mycobacterium_pyrazinamide_cdhit_train,Decision Tree,3,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}]","[0.49999999999999895, 0.5007776049766699, 0.5007800312012494, 0.5007776049766699, 0.5007776049766699]",0.500777605,7.8,15.6,24.2,48.4,96.4,48.20207464,31,15.50483795,0.5,0,0.65408805,0.205181994,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.07839196,0.15678392,0,0,0.500622569,0.000311286
