dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
mycobacterium_rifampin_cdhit_train,Linear SVM,2,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[-1.659724201608349e-15, -1.3908956337422104e-15, -1.3908956337422104e-15, -1.3908956337422104e-15, -1.3908956337422104e-15]",-1.39E-15,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,-1.44E-15,1.08E-16
mycobacterium_rifampin_cdhit_train,LogReg (L1),2,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.5, 0.5, 0.5, 0.5, 0.5]",0.5,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0.5,0
mycobacterium_rifampin_cdhit_train,SGD Logistic,2,"[{'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}, {'clf__alpha': 1e-05}]","[0.014897310308224514, 0.019301402697022362, 0.019301402697022362, 0.019301402697022362, 0.019301402697022362]",0.019301403,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0.018420584,0.001761637
mycobacterium_rifampin_cdhit_train,KNN,2,"[{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}, {'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}]","[0.0, 0.0, 0.0, 0.0, 0.0]",0,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0,0
mycobacterium_rifampin_cdhit_train,Decision Tree,2,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}]","[0.5000000000000002, 0.5000000000000002, 0.5000000000000002, 0.5000000000000002, 0.5000000000000002]",0.5,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0.5,0
mycobacterium_rifampin_cdhit_train,Balanced Random Forest,2,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}]","[0.5, 0.5, 0.5, 0.5, 0.5]",0.5,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0.5,0
mycobacterium_rifampin_cdhit_train,Extra Trees,2,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}]","[0.5000000000000001, 0.5000000000000001, 0.5000000000000001, 0.5000000000000001, 0.5000000000000001]",0.5,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0.5,0
mycobacterium_rifampin_cdhit_train,AdaBoost,2,"[{'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}, {'clf__learning_rate': 0.01, 'clf__n_estimators': 50}]","[0.1192029220221175, 0.1192029220221175, 0.1192029220221175, 0.1192029220221175, 0.1192029220221175]",0.119202922,79,0,81.2,0.4,0,0,0,0,0.5,0,0.493136646,0.001226708,0.5,0,1,0,1,0,0,0,0.66053696,0.001101813,0,0,0.119202922,0
mycobacterium_rifampin_cdhit_train,RBF SVM,2,"[{'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}, {'clf__C': 0.1, 'clf__gamma': 'scale'}]","[0.4574000376645264, 0.4556208127006867, 0.4552954057252043, 0.45333651247952605, 0.4622806075897269]",0.455620813,31.6,38.70193794,32.6,39.92793508,48.6,39.68173383,47.4,38.70193794,0.5,0,0.500636646,0.006942991,0.5,0,0.4,0.489897949,0.4,0.489897949,0.6,0.489897949,0.26388424,0.323192043,0,0,0.456786675,0.003034675
mycobacterium_rifampin_cdhit_train,LogReg (L2),2,"[{'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}, {'clf__C': 0.001}]","[0.4999999999999998, 0.4999999999999998, 0.4999999999999998, 0.4999999999999998, 0.4999999999999998]",0.5,15.8,31.6,16.4,32.8,64.8,32.4,63.2,31.6,0.5,0,0.503136646,0.006226708,0.5,0,0.2,0.4,0.2,0.4,0.8,0.4,0.131666667,0.263333333,0,0,0.5,5.55E-17
